Dates,Open Price,High Price,Low Price,Close Price
12-03-1982,108.61,108.61,108.61,108.61
15-03-1982,109.45,109.45,109.45,109.45
16-03-1982,109.28,109.28,109.28,109.28
17-03-1982,109.08,109.08,109.08,109.08
18-03-1982,110.3,110.3,110.3,110.3
19-03-1982,110.61,110.61,110.61,110.61
22-03-1982,112.77,112.77,112.77,112.77
23-03-1982,113.55,113.55,113.55,113.55
24-03-1982,112.97,112.97,112.97,112.97
25-03-1982,113.21,113.21,113.21,113.21
26-03-1982,111.94,111.94,111.94,111.94
29-03-1982,112.3,112.3,112.3,112.3
30-03-1982,112.27,112.27,112.27,112.27
31-03-1982,111.96,111.96,111.96,111.96
01-04-1982,113.79,113.79,113.79,113.79
02-04-1982,115.12,115.12,115.12,115.12
05-04-1982,114.73,114.73,114.73,114.73
06-04-1982,115.36,115.36,115.36,115.36
07-04-1982,115.46,115.46,115.46,115.46
08-04-1982,116.22,116.22,116.22,116.22
12-04-1982,116,116,116,116
13-04-1982,115.99,115.99,115.99,115.99
14-04-1982,115.83,115.83,115.83,115.83
15-04-1982,116.35,116.35,116.35,116.35
16-04-1982,116.81,116.81,116.81,116.81
19-04-1982,116.7,116.7,116.7,116.7
20-04-1982,115.44,115.44,115.44,115.44
21-04-1982,115.48,116.58,114.44,115.72
22-04-1982,115.72,117.25,115.72,117.19
23-04-1982,118.02,118.64,117.19,118.64
26-04-1982,118.94,119.33,118.25,119.26
27-04-1982,119.07,119.26,117.73,118
28-04-1982,117.83,118.05,116.94,117.26
29-04-1982,116.4,117.24,116.11,116.13
30-04-1982,116.21,116.78,116.07,116.44
03-05-1982,115.96,116.82,115.91,116.81
04-05-1982,117.41,117.64,116.85,117.46
05-05-1982,117.85,118.05,117.31,117.67
06-05-1982,118.82,118.83,117.68,118.68
07-05-1982,119.08,119.89,118.71,119.47
10-05-1982,119.08,119.49,118.37,118.38
11-05-1982,118.54,119.59,118.32,119.42
12-05-1982,119.89,119.92,118.76,119.17
13-05-1982,119.08,119.2,118.13,118.22
14-05-1982,118.2,118.4,118.01,118.01
17-05-1982,117.62,118.02,116.66,116.71
18-05-1982,116.35,116.7,115.71,115.84
19-05-1982,115.61,115.96,114.82,114.89
20-05-1982,114.85,115.07,114.37,114.59
21-05-1982,115.03,115.13,114.6,114.89
24-05-1982,114.46,114.86,114.24,114.79
25-05-1982,115.5,115.51,114.39,114.4
26-05-1982,113.68,114.4,112.88,113.11
27-05-1982,113.11,113.12,112.58,112.66
28-05-1982,112.79,112.8,111.66,111.88
01-06-1982,111.97,112.07,111.66,111.68
02-06-1982,111.74,112.19,111.55,112.04
03-06-1982,112.04,112.48,111.45,111.86
04-06-1982,111.66,111.85,110.02,110.09
07-06-1982,109.59,110.59,109.42,110.12
08-06-1982,110.33,110.33,109.6,109.63
